Nafn skóla,Heimilisfang,Sveitarfélag,Netfang skóla,Sveitarfélag / skólaskrifstofa,Heimasíða skóla,,,,,
Brekkubæjarskóli,v/Vesturgötu,Akraneskaupstaður,skrifstofa@brak.is,Akraneskaupstaður,www.brekkubaejarskoli.is,,,,,
Grundaskóli,Espigrund 1,Akraneskaupstaður,skrifstofa@grundaskoli.is,Akraneskaupstaður,www.grundaskoli.is,,,,,
Brekkuskóli,v/Skólastíg,Akureyrarkaupstaður,brekkuskoli@akmennt.is,Akureyrarkaupstaður,www.brekkuskoli.is,,,,,
Giljaskóli,v/Kiðagil,Akureyrarkaupstaður,giljaskoli@akmennt.is,Akureyrarkaupstaður,www.giljaskoli.is,,,,,
Glerárskóli,v/Höfðahlíð,Akureyrarkaupstaður,glerarskoli@akmennt.is,Akureyrarkaupstaður,www.glerarskoli.is,,,,,
Hlíðarskóli,Skjaldarvík,Akureyrarkaupstaður,hlidarskoli@akmennt.is,Akureyrarkaupstaður,http://www.hlidarskoli.akureyri.is/,,,,,
Hríseyjarskóli,v/Hólabraut,Akureyrarkaupstaður,thorunna@akmennt.is,Akureyrarkaupstaður,www.hriseyjarskoli.is,,,,,
Lundarskóli,v/Dalsbraut,Akureyrarkaupstaður,lundarskoli@akmennt.is,Akureyrarkaupstaður,www.lundarskoli.is,,,,,
Naustaskóli,Hólmatúni 2,Akureyrarkaupstaður,naustaskoli@akmennt.is,Akureyrarkaupstaður,www.naustaskoli.is,,,,,
Oddeyrarskóli,v/Víðivelli,Akureyrarkaupstaður,oddeyrarskoli@akmennt.is,Akureyrarkaupstaður,www.oddeyrarskoli.is,,,,,
Síðuskóli,v/Bugðusíðu,Akureyrarkaupstaður,siduskoli@akmennt.is,Akureyrarkaupstaður,www.siduskoli.is,,,,,
Grunnskóli Borgarfjarðar,"Hvanneyri, Kleppjárnsreykjum og Varmalandi",Borgarbyggð,gbf@gbf.is,Borgarbyggð,www.gbf.is,,,,,
Grunnskólinn Borgarnesi,Gunnlaugsgötu 13,Borgarbyggð,skoli@grunnborg.is,Borgarbyggð,www.grunnborg.is,,,,,
Höfðaskóli,Bogabraut 2,Sveitarfélagið Skagaströnd,hofdaskoli@hofdaskoli.is,Félags- og skólaþjónusta Austur Hún,http://hofdaskoli.wixsite.com/hofdaskoli,,,,,
Húnaskóli,Húnabraut 2a,Blönduósbær,blonduskoli@blonduskoli.is,Félags- og skólaþjónusta Austur Hún,http://blonduskoli.is,,,,,
Grunnskóli Grundarfjarðar,Borgarbraut 19,Grundarfjarðarbær,grunnskoli@gfb.is,Félags- og skólaþjónusta Snæfellinga,www.grundo.is,,,,,
Grunnskóli Snæfellsbæjar,Ennisbraut 11,Snæfellsbær,hilmara@gsnb.is,Félags- og skólaþjónusta Snæfellinga,www.gsnb.is,,,,,
Grunnskólinn Stykkishólmi,v/Borgarbraut,Stykkishólmsbær,grunnskoli@stykk.is,Félags- og skólaþjónusta Snæfellinga,http://grunnskoli.stykkisholmur.is,,,,,
Grunnskóli Fjallabyggðar,"v/Norðurgötu og Hlíðarveg, Siglufirði og v/Tjarnarstíg Ólafsfirði",Fjallabyggð,erlag@fjallaskolar.is,Fjallabyggð,http://grunnskoli.fjallabyggd.is,,,,,
Breiðdals- og Stöðvarfjarðarskóli,Skólabraut 20,Fjarðabyggð,sto@skolar.fjardabyggd.is,Fjarðabyggð,www.stodvarfjordur.is,,,,,
Grunnskóli Eskifjarðar,Lambeyrarbraut 16,Fjarðabyggð,esk@skolar.fjardabyggd.is,Fjarðabyggð,www.grunnesk.is, ,,,,
Grunnskóli Reyðarfjarðar,Heiðarvegur 14a,Fjarðabyggð,rey@skolar.fjardabyggd.is,Fjarðabyggð,www.grunnrey.is,,,,,
Nesskóli,Skólavegi 12,Fjarðabyggð,nes@skolar.fjardabyggd.is,Fjarðabyggð,www.nesskoli.is,,,,,
Grunnskóli Fáskrúðsfjarðar,Hlíðargötu 56,Fjarðabyggð,fask@skolar.fjardabyggd.is,Fjarðabyggð,www.fask.is,,,,,
Grunnskólinn í Þorlákshöfn,Egilsbraut 35,Sveitarfélagið Ölfus,skolinn@olfus.is,Fjölskyldu og velferðarþjónusta Árnesþings,https://www.olfus.is/grunnskolinn,,,,,
Grunnskóli Vestmannaeyja/Barnaskólinn,Skólavegi,Vestmannaeyjabær,annaros@grv.is,Fjölskyldu- og fræðslusvið Vestmannaeyja,www.grv.is,,,,,
Bláskógaskóli - Laugarvatni,Laugarvatni,Bláskógabyggð,laugarvatn@blaskogaskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,http://laugarvatn.blaskogaskoli.is/,,,,,
Flóaskóli,Villingaholti,Flóahreppur,floaskoli@floaskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,www.floaskoli.is,,,,,
Flúðaskóli,Flúðum,Hrunamannahreppur,fludaskoli@fludaskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,www.fludaskoli.is,,,,,
Reykholtsskóli (Bláskógarbyggð),Reykholti,Bláskógabyggð,reykholt@blaskogaskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,http://reykholt.blaskogaskoli.is/,,,,,
Þjórsárskóli,Árnes,Skeiða- og Gnúpverjahreppur,skolastjori@thjorsarskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,www.thjorsarskoli.is,,,,,
Grunnskóli Húnaþings vestra,Pósthólf 90,Húnaþing vestra,grunnskoli@hunathing.is,Fjölskyldusvið Húnaþings vestra,http://grunnskoli.hunathing.is,,,,,
Árskóli,v/Skagfirðingabraut,Sveitarfélagið Skagafjörður,arskoli@arskoli.is,Fjölskyldusvið Sveitarfélagsins Skagafjarðar,www.arskoli.is,,,,,
Grunnskólinn austan Vatna,Hólum/Hofsósi/Sólgörðum,Sveitarfélagið Skagafjörður,gsh@gsh.is,Fjölskyldusvið Sveitarfélagsins Skagafjarðar,www.gsh.is,,,,,
Varmahlíðaskóli,Birkimel 2,Sveitarfélagið Skagafjörður,varmahlidarskoli@varmahlidarskoli.is,Fjölskyldusvið Sveitarfélagsins Skagafjarðar,www.varmahlidarskoli.is,,,,,
Grunnskóli Hornafjarðar,Svalbarði 6 og Víkurbraut 9,Sveitarfélagið Hornafjörður,skrifstofagrunnsk@hornafjordur.is,Fræðslu- og félagssvið Hornafjarðar,http://gs.hornafjordur.is,,,,,
Grunnskólinn í Hofgarði,Öræfum,Sveitarfélagið Hornafjörður,hofgardur@hornafjordur.is,Fræðslu- og félagssvið Hornafjarðar,www.hofgardur.is,,,,,
